Customer_ID,Age,Gender,Employment_Type,Annual_Income,Credit_Score,Loan_or_Credit_Amount,Number_of_Active_Accounts,Past_Default_Count,Application_Type,Region,Credit_Limit,Utilization_Ratio,Application_Date,Default_Status
22,53,Female,Self-Employed,357396,482,226629,11,1,Credit Card,North,140790.42869849323,1.0,2023-01-10,Yes
23,32,Female,Salaried,1308946,550,1241180,1,4,Auto Loan,North,351344.47444796027,1.0,2021-12-18,No
24,42,Female,Salaried,649993,603,313036,3,3,Auto Loan,Central,219921.459078707,1.0,2022-04-07,No
25,45,Male,Self-Employed,1954049,532,372103,4,1,Personal Loan,West,1050432.5600924515,0.35423787698207887,2023-12-08,No
26,47,Female,Salaried,1957346,499,171516,1,2,Personal Loan,West,873115.7175756008,0.1964413153347556,2023-02-06,No
27,48,Female,Salaried,849060,898,676215,10,2,Credit Card,West,474157.0069803541,1.0,2022-05-05,No
28,36,Male,Salaried,1201998,839,778934,7,0,Personal Loan,South,461102.3962626785,1.0,2023-06-22,No
29,35,Male,Salaried,566366,854,502766,2,4,Home Loan,West,204026.56881480463,1.0,2021-10-27,No
30,23,Female,Salaried,946345,762,1050912,11,3,Credit Card,North,237057.00942418675,1.0,2023-04-21,No
31,57,Female,Salaried,871931,857,1097071,4,2,Credit Card,East,272977.946877871,1.0,2022-08-10,No
32,27,Male,Self-Employed,259453,753,1448400,9,0,Personal Loan,East,95298.6328083987,1.0,2023-06-08,No
33,41,Female,Salaried,671137,585,290594,8,0,Auto Loan,North,186447.6681128587,1.0,2023-10-07,No
34,29,Female,Salaried,1627189,894,857771,2,1,Credit Card,West,751125.8981539357,1.0,2021-12-22,No
35,59,Female,Self-Employed,2443696,891,1154668,11,3,Credit Card,East,1457421.3469992117,0.7922677970769592,2021-11-07,No
36,38,Female,Salaried,960542,783,537186,11,2,Auto Loan,North,259705.3485194678,1.0,2022-09-04,No
37,24,Male,Salaried,1010780,895,1448904,9,4,Auto Loan,West,391330.1125289282,1.0,2022-04-26,No
38,45,Female,Salaried,1811523,557,973839,1,1,Credit Card,South,706546.4372392796,1.0,2023-12-03,No
39,34,Male,Salaried,1356657,489,782635,6,2,Personal Loan,East,372321.93339157256,1.0,2023-05-24,No
40,29,Female,Salaried,1823656,656,694449,3,0,Credit Card,West,574285.0692591465,1.0,2023-11-06,No
41,46,Male,Self-Employed,1309943,447,1182062,1,4,Credit Card,West,535106.1338715568,1.0,2021-02-24,Yes
42,22,Female,Self-Employed,1861595,474,1010868,8,0,Credit Card,East,1088006.5706851971,0.9291010065898615,2022-05-16,No
43,40,Male,Salaried,1851432,698,1393967,6,1,Personal Loan,West,832333.5669541652,1.0,2022-01-16,No
44,48,Female,Salaried,575051,483,1005164,4,4,Auto Loan,Central,163858.04715619804,1.0,2021-02-12,Yes
45,27,Male,Salaried,824500,575,777993,3,4,Credit Card,Central,420297.55981043895,1.0,2023-10-02,No
46,28,Female,Salaried,1996267,898,1394587,10,1,Auto Loan,South,1098048.3054240257,1.0,2021-07-05,No
47,55,Female,Salaried,2149387,688,457518,2,0,Credit Card,North,1145327.0301196384,0.39946494579125463,2023-08-20,No
48,34,Male,Salaried,2305923,671,533803,5,4,Personal Loan,Central,1236935.7140139672,0.43155274275957434,2023-07-18,No
49,37,Male,Salaried,909498,436,487553,8,3,Credit Card,Central,485775.4392117073,1.0,2021-03-19,Yes
50,56,Male,Salaried,454301,444,132836,8,3,Credit Card,South,149002.129965197,0.8915040344123067,2022-05-10,No
51,24,Male,Salaried,1441042,545,846833,3,0,Auto Loan,Central,659934.3144234554,1.0,2022-04-09,No
52,22,Male,Salaried,944455,541,431729,9,4,Credit Card,Central,289869.643294522,1.0,2021-05-21,No
53,26,Female,Salaried,2219433,871,433022,10,0,Credit Card,East,809931.139939702,0.534640512812284,2023-07-28,No
54,24,Male,Unemployed,1737924,362,125087,5,3,Credit Card,South,688297.5845729389,0.18173389360012282,2023-01-31,Yes
55,49,Male,Salaried,1958564,603,362603,7,4,Auto Loan,West,785725.2229372712,0.4614883033084819,2023-05-03,No
56,38,Female,Self-Employed,1875464,430,330749,11,4,Home Loan,West,756296.6352064712,0.43732708120498853,2021-10-04,No
57,46,Male,Self-Employed,1656246,722,237698,9,0,Auto Loan,North,868252.3993717661,0.2737660157023339,2021-03-04,No
58,54,Male,Self-Employed,2405996,743,874174,7,4,Credit Card,North,1123755.6699795257,0.777903972681114,2023-05-06,No
59,30,Male,Salaried,495828,767,1202994,10,0,Home Loan,Central,235331.26144266396,1.0,2023-04-09,No
60,56,Female,Self-Employed,342060,408,1240661,3,2,Auto Loan,Central,177539.82031966752,1.0,2021-01-31,Yes
61,34,Male,Salaried,528828,477,1274933,2,2,Auto Loan,West,170504.132412504,1.0,2021-10-28,No
62,51,Female,Salaried,2310314,890,779790,7,3,Home Loan,South,953117.4683445686,0.8181467929177564,2022-10-26,No
63,35,Female,Salaried,1420061,682,984005,10,3,Home Loan,East,780059.5785217173,1.0,2023-11-18,No
64,28,Male,Salaried,465592,631,1469316,8,1,Home Loan,North,231397.43594308966,1.0,2022-06-29,No
65,34,Female,Salaried,825593,556,1349379,4,2,Home Loan,Central,460708.340488671,1.0,2023-02-22,No
66,43,Male,Salaried,705241,621,420600,1,2,Personal Loan,North,288181.0484834412,1.0,2023-11-30,No
67,41,Male,Salaried,395979,658,415066,6,1,Personal Loan,West,205140.0200733339,1.0,2023-09-28,No
68,36,Male,Self-Employed,335938,752,1353299,9,0,Personal Loan,South,115258.6359381279,1.0,2021-11-28,No
69,38,Male,Salaried,1629338,524,1093213,4,2,Home Loan,West,902207.5159961673,1.0,2023-07-15,No
70,44,Male,Salaried,1590050,567,1048540,3,2,Credit Card,East,562622.1167914507,1.0,2021-02-27,No
71,46,Female,Unemployed,703493,675,1252830,6,3,Credit Card,South,259736.4944742381,1.0,2021-03-25,Yes
72,45,Female,Salaried,752080,602,78784,6,1,Credit Card,East,376929.32046137896,0.20901531327826856,2021-10-02,No
73,49,Female,Salaried,1692251,803,1083479,4,1,Auto Loan,East,865951.1765046957,1.0,2023-08-18,No
74,35,Female,Unemployed,1159102,538,1007930,7,3,Credit Card,South,311115.548312297,1.0,2023-06-19,Yes
75,21,Male,Salaried,839325,792,700762,11,2,Personal Loan,East,253946.04047786677,1.0,2021-01-26,No
76,45,Male,Salaried,1744707,479,156594,2,4,Home Loan,North,588662.534298395,0.2660165899408539,2021-10-01,No
77,27,Female,Self-Employed,2375983,834,935782,1,1,Auto Loan,Central,1425478.4221034471,0.656468723405264,2022-04-26,No
78,29,Male,Self-Employed,1134347,352,1127486,11,2,Personal Loan,South,610115.0462859909,1.0,2021-06-20,No
79,44,Female,Salaried,1625504,700,163260,6,0,Credit Card,West,813185.2809839369,0.20076605395815683,2023-06-13,No
80,21,Female,Salaried,1698176,482,284758,3,1,Home Loan,West,997174.1929194429,0.2855649514617997,2023-09-08,No
81,28,Female,Self-Employed,2163767,843,1342959,3,3,Credit Card,Central,1061366.7320714595,1.0,2023-11-13,No
82,44,Female,Salaried,1084499,615,271789,1,1,Personal Loan,West,533655.4362452329,0.5092967887899555,2023-04-07,No
83,31,Male,Salaried,1571918,373,183241,2,3,Personal Loan,Central,887131.7203436783,0.2065544448450245,2021-11-22,No
84,37,Male,Salaried,1988382,883,1300603,3,0,Personal Loan,North,707237.2554091632,1.0,2023-09-24,No
85,28,Female,Salaried,1832246,352,1000834,1,2,Credit Card,West,459189.16480217467,1.0,2023-02-15,No
86,55,Female,Self-Employed,1727257,776,384140,8,3,Home Loan,West,864028.1729498325,0.44459198441241576,2021-06-01,No
87,55,Female,Self-Employed,504816,353,1071746,6,3,Home Loan,North,153786.98761988388,1.0,2022-11-04,Yes
88,53,Female,Self-Employed,2210464,852,529136,9,0,Auto Loan,West,774842.932943091,0.6828945293340668,2023-05-22,No
89,25,Female,Salaried,2326491,581,201416,1,4,Auto Loan,West,1251365.080308837,0.1609570245881326,2021-06-24,No
90,59,Male,Salaried,1131936,421,518267,11,1,Auto Loan,North,591176.5181204182,0.8766704767770105,2023-12-22,No
91,48,Female,Self-Employed,527879,437,479141,4,4,Personal Loan,North,219687.89190296252,1.0,2022-08-24,Yes
92,27,Female,Salaried,1181727,877,979436,4,1,Home Loan,North,338586.07995219016,1.0,2023-10-31,No
93,29,Male,Self-Employed,1928710,799,318692,5,0,Credit Card,West,683551.0903775401,0.46622996362127006,2021-06-17,No
94,28,Male,Self-Employed,1445010,788,1416993,11,0,Home Loan,Central,601752.7112005249,1.0,2023-11-04,No
95,32,Male,Salaried,2197243,881,548356,2,4,Credit Card,Central,1140067.1843756312,0.4809856888393051,2022-12-02,No
96,54,Male,Salaried,1076418,784,175039,1,0,Auto Loan,South,640091.458913084,0.27345935891290807,2022-12-16,No
97,53,Male,Self-Employed,1321985,433,941913,9,2,Personal Loan,South,619950.1370124811,1.0,2023-02-07,No
98,43,Male,Self-Employed,2464061,688,867049,5,4,Personal Loan,West,662036.1811582913,1.0,2021-01-10,No
99,44,Male,Salaried,854275,475,1248458,8,3,Auto Loan,West,279686.27454038133,1.0,2023-12-06,Yes
100,57,Male,Self-Employed,1566534,367,537281,3,3,Personal Loan,Central,533933.3175660049,1.0,2023-01-15,Yes
101,55,Male,Salaried,1452536,889,132859,4,0,Auto Loan,East,685673.6565345334,0.1937641890334293,2021-12-16,No
102,42,Female,Salaried,1845033,694,844861,4,0,Home Loan,South,473156.4749270082,1.0,2023-03-29,No
103,47,Male,Salaried,702342,817,1353171,6,1,Credit Card,Central,300107.563777706,1.0,2022-09-27,No
104,55,Female,Self-Employed,2074843,490,310425,4,4,Personal Loan,West,1241797.3252068125,0.24998040638258012,2023-06-18,No
105,21,Female,Self-Employed,760707,355,517128,5,4,Auto Loan,South,394834.90521236655,1.0,2023-04-04,Yes
106,55,Female,Salaried,2035060,890,559734,5,2,Credit Card,South,1056765.2229350598,0.5296673166868557,2023-02-28,No
107,57,Female,Salaried,688343,414,1434143,8,3,Auto Loan,South,351663.75926977536,1.0,2022-10-24,Yes
108,34,Female,Self-Employed,2231842,405,1002057,9,3,Personal Loan,West,1091793.1868114613,0.917808438543629,2023-12-28,Yes
109,23,Female,Salaried,795219,445,1272056,11,2,Credit Card,Central,281848.33649488474,1.0,2023-03-02,No
110,21,Female,Salaried,2276382,564,1204909,8,1,Personal Loan,East,1192863.4067070007,1.0,2023-12-30,No
111,25,Female,Salaried,2422658,407,1302674,5,2,Credit Card,West,1153330.7328903016,1.0,2022-02-26,No
112,46,Male,Salaried,420350,841,283953,6,1,Credit Card,South,138764.29268144813,1.0,2023-10-06,No
113,34,Female,Self-Employed,1749961,754,621992,4,1,Auto Loan,North,1037114.2929748729,0.5997333217883534,2023-03-04,No
114,59,Female,Self-Employed,466653,533,1280181,2,1,Credit Card,Central,277464.1975132862,1.0,2022-03-19,No
115,47,Female,Salaried,1511103,631,115897,11,0,Home Loan,West,575532.706655811,0.20137343831149201,2022-01-21,No
116,29,Female,Salaried,1754567,512,821107,11,0,Personal Loan,South,901170.4366063874,0.9111561660767646,2022-07-24,No
117,35,Male,Salaried,1932729,438,861523,5,1,Auto Loan,East,944096.5162609735,0.9125369971832965,2022-02-25,No
118,35,Female,Salaried,1959994,446,154169,1,2,Credit Card,South,890559.7604392524,0.17311471598936712,2023-09-21,No
119,46,Male,Salaried,753073,437,730265,1,2,Home Loan,South,235936.44020267326,1.0,2021-10-04,No
120,33,Male,Salaried,1557090,867,446357,1,2,Home Loan,West,644240.5653657212,0.6928421214001216,2023-06-14,No
121,52,Female,Self-Employed,318866,412,104790,4,0,Home Loan,East,161179.13181667507,0.6501461995662565,2022-09-15,No
122,59,Female,Self-Employed,2207187,890,489226,5,1,Auto Loan,North,1315303.4980658859,0.3719491362407171,2022-11-26,No
123,52,Male,Salaried,960540,540,179401,4,3,Credit Card,West,446425.77847334725,0.4018607541291675,2023-10-13,No
124,24,Female,Self-Employed,1211329,627,1442932,6,2,Credit Card,Central,621732.9680062302,1.0,2022-05-23,No
125,50,Female,Self-Employed,1643195,888,743533,2,0,Home Loan,East,936394.4815358191,0.7940382121651346,2021-03-12,No
126,57,Male,Salaried,800903,434,984247,5,4,Auto Loan,North,372278.6417867827,1.0,2021-07-12,Yes
127,43,Male,Salaried,2248245,684,84128,6,1,Personal Loan,North,1163651.7635476799,0.07229654320594592,2022-05-30,No
128,59,Female,Salaried,685938,790,574911,5,2,Credit Card,East,281455.2912219196,1.0,2022-05-17,No
129,35,Female,Salaried,1117491,521,346477,6,0,Credit Card,Central,393537.8664632395,0.8804159129941427,2021-10-14,No
130,49,Female,Self-Employed,1358006,688,835443,8,4,Personal Loan,South,573844.2101039581,1.0,2021-01-25,No
131,56,Male,Self-Employed,2439671,578,166199,2,1,Credit Card,West,685878.6590169644,0.24231545597030926,2023-03-07,No
132,33,Female,Salaried,1268124,528,72871,7,3,Personal Loan,Central,729804.121700296,0.09985008008755186,2022-05-18,No
133,52,Male,Self-Employed,1018323,596,1423413,6,1,Personal Loan,North,365221.6280996639,1.0,2022-04-18,No
134,27,Male,Self-Employed,1599957,666,1081956,10,1,Credit Card,Central,658160.5686279682,1.0,2021-09-10,No
135,42,Female,Salaried,911703,635,529849,8,2,Home Loan,South,436416.3326275744,1.0,2021-09-14,No
136,48,Male,Salaried,1838661,425,1383023,9,1,Credit Card,Central,784323.3114141463,1.0,2022-05-24,No
137,22,Female,Self-Employed,1628281,801,1450569,8,4,Home Loan,Central,568226.2236182885,1.0,2022-01-22,No
138,26,Female,Self-Employed,869194,553,1133345,5,4,Credit Card,North,516737.6665411689,1.0,2023-05-25,No
139,48,Male,Self-Employed,1276021,773,247004,4,1,Auto Loan,Central,697859.4986038643,0.3539451716200116,2023-12-08,No
140,48,Female,Self-Employed,1609330,542,104827,3,1,Home Loan,West,460229.18611133157,0.2277712999597593,2023-05-19,No
141,40,Male,Salaried,709450,642,880100,10,4,Personal Loan,East,268587.92313014227,1.0,2023-05-30,No
142,50,Male,Salaried,1998166,762,870711,9,4,Home Loan,North,635421.8941549547,1.0,2021-06-19,No
143,31,Female,Salaried,815994,788,1108861,7,2,Home Loan,East,340706.3470045545,1.0,2021-08-29,No
144,48,Female,Salaried,1140807,650,1291774,1,3,Credit Card,Central,368570.2983114511,1.0,2022-09-23,No
145,45,Female,Self-Employed,1255163,609,635988,3,4,Auto Loan,South,450974.68245797046,1.0,2021-12-01,No
146,59,Female,Unemployed,839320,541,445908,3,3,Personal Loan,North,362850.2077031996,1.0,2023-03-02,Yes
147,53,Male,Self-Employed,925235,620,311787,6,3,Auto Loan,Central,277968.0694630821,1.0,2023-08-20,No
148,21,Male,Salaried,1481777,781,1088064,2,4,Home Loan,Central,816949.1230894956,1.0,2021-08-19,No
149,47,Male,Salaried,2172335,566,1468570,4,2,Auto Loan,South,818813.058110506,1.0,2021-12-13,No
150,33,Female,Salaried,2480115,440,450855,2,1,Auto Loan,Central,1413677.7620591887,0.3189234577357123,2022-10-24,No
151,23,Male,Salaried,2186818,547,1484892,5,0,Auto Loan,West,569735.1674139965,1.0,2023-11-07,No
152,59,Male,Self-Employed,1624910,748,754121,4,1,Home Loan,South,845107.8776723477,0.8923369665859111,2022-01-21,No
153,26,Female,Salaried,1693831,388,1032673,4,0,Auto Loan,North,936236.2066034273,1.0,2021-06-07,No
154,28,Female,Self-Employed,1580393,820,553447,4,4,Auto Loan,North,939700.9961373636,0.588960746317117,2022-09-07,No
155,47,Female,Self-Employed,2389564,428,906220,4,1,Credit Card,East,707680.0883285179,1.0,2023-06-10,No
156,29,Male,Salaried,1534597,443,1004981,5,1,Personal Loan,West,616619.6828158115,1.0,2022-05-27,No
157,57,Female,Salaried,1418025,392,143011,2,0,Home Loan,West,731854.1516009185,0.1954091531586804,2022-08-31,No
158,53,Male,Self-Employed,409508,481,1165387,6,2,Auto Loan,North,175984.23551277665,1.0,2022-01-20,No
159,44,Male,Salaried,1437834,426,799834,1,4,Auto Loan,Central,772514.7081735712,1.0,2023-07-06,Yes
160,35,Male,Self-Employed,2148716,581,1393282,10,4,Credit Card,West,1277124.2144034281,1.0,2022-03-30,No
161,52,Male,Salaried,915879,388,1053347,2,4,Personal Loan,West,471518.5357000169,1.0,2023-04-28,Yes
162,52,Male,Salaried,1054462,500,198072,3,1,Home Loan,Central,537528.8924451472,0.36848623912846235,2023-09-01,No
163,44,Female,Salaried,2164872,768,195164,2,3,Auto Loan,South,971515.5874825326,0.20088612320232996,2021-01-10,No
164,32,Male,Salaried,1041690,535,1158138,3,0,Home Loan,Central,429287.2446635022,1.0,2022-02-01,No
165,59,Female,Self-Employed,469087,667,694759,8,1,Auto Loan,East,254366.14941061832,1.0,2021-12-18,No
166,22,Male,Salaried,2335628,813,199167,3,2,Auto Loan,East,774277.116190082,0.25722960918698423,2021-08-10,No
167,23,Male,Self-Employed,2405429,781,772238,11,2,Home Loan,North,1326613.5488166767,0.5821122516718052,2021-07-17,No
168,57,Female,Self-Employed,2130246,484,1005024,10,1,Home Loan,South,1156881.0363069617,0.8687358237008316,2022-04-06,No
169,37,Male,Self-Employed,804665,852,218772,1,0,Auto Loan,West,408782.52938091534,0.5351794273872745,2021-05-01,No
170,22,Male,Salaried,898314,618,1001295,11,4,Home Loan,North,443371.45881585503,1.0,2021-07-10,No
171,22,Female,Salaried,1605676,786,263725,8,4,Personal Loan,North,405960.8446585408,0.649631617112785,2023-09-05,No
172,48,Female,Salaried,356017,847,1402077,8,3,Home Loan,West,212416.43490501062,1.0,2023-04-30,Yes
173,43,Male,Salaried,348684,689,1257310,7,1,Home Loan,West,134999.74740776105,1.0,2022-12-28,No
174,57,Male,Self-Employed,2323400,591,124696,4,3,Home Loan,Central,889718.9369838351,0.14015212536975094,2021-08-16,No
175,52,Male,Salaried,767634,570,460361,5,2,Home Loan,East,457456.4749408718,1.0,2022-02-16,No
176,53,Female,Self-Employed,1267445,710,1207269,11,4,Auto Loan,West,424164.6674669257,1.0,2023-07-13,No
177,21,Male,Salaried,807580,539,468654,10,4,Credit Card,Central,471300.54349045287,0.9943845948683773,2021-10-12,No
178,39,Female,Self-Employed,739760,762,1390172,6,3,Auto Loan,East,284672.2631734303,1.0,2023-08-31,No
179,22,Female,Salaried,2333894,678,1038736,6,1,Auto Loan,South,663677.3700333863,1.0,2022-04-09,No
180,46,Male,Self-Employed,798576,571,527483,7,3,Personal Loan,South,345843.6360136561,1.0,2023-10-21,No
181,52,Female,Self-Employed,864235,441,461046,4,2,Auto Loan,South,429680.84537045285,1.0,2021-08-16,No
182,26,Male,Salaried,1663940,789,1329394,8,1,Auto Loan,West,770684.8761203685,1.0,2022-01-28,No
183,52,Male,Salaried,295091,455,904774,2,2,Personal Loan,East,172114.70003409885,1.0,2021-04-26,Yes
184,24,Female,Self-Employed,1940486,594,1146564,9,1,Personal Loan,East,745732.6444280704,1.0,2022-01-30,No
185,31,Female,Salaried,746676,654,1417322,6,3,Home Loan,South,302180.96402118687,1.0,2021-12-11,No
186,37,Female,Salaried,1768954,446,512077,1,0,Auto Loan,North,594502.8236651041,0.8613533521052941,2021-10-16,No
187,58,Female,Salaried,964145,826,613703,1,3,Personal Loan,East,436028.88194329065,1.0,2022-07-08,No
188,44,Female,Self-Employed,2285117,615,1184252,8,1,Auto Loan,East,1322800.1713953165,0.8952614503752497,2023-05-02,No
189,25,Female,Self-Employed,1742485,452,1083528,10,2,Auto Loan,Central,646401.1452085893,1.0,2021-08-14,No
190,54,Male,Self-Employed,1118818,603,71781,10,3,Auto Loan,South,324720.75624754105,0.2210545480045628,2021-11-11,No
191,26,Male,Self-Employed,2251792,804,58993,7,1,Home Loan,North,851498.1145076681,0.06928142176111507,2022-06-21,No
192,42,Male,Self-Employed,2171222,862,917121,3,2,Home Loan,Central,1213973.1027363732,0.7554706096310951,2023-09-02,No
193,31,Female,Salaried,513735,842,1273865,8,2,Auto Loan,North,290291.30591615563,1.0,2022-02-15,No
194,36,Female,Salaried,918882,610,307891,8,2,Credit Card,North,268944.25620166457,1.0,2022-05-13,No
195,53,Female,Salaried,483448,384,799551,7,1,Auto Loan,North,250225.6779821102,1.0,2022-04-26,No
196,29,Male,Self-Employed,1009642,730,1241135,5,2,Home Loan,West,302463.0940011409,1.0,2021-08-11,No
197,26,Male,Self-Employed,1234378,746,1488269,8,2,Personal Loan,East,690693.8434339025,1.0,2021-03-18,No
198,36,Female,Salaried,1228046,376,215887,5,3,Auto Loan,East,511261.90624961315,0.4222630267599041,2021-02-10,No
199,49,Female,Self-Employed,2101159,655,156522,1,2,Home Loan,Central,1186247.4838184456,0.13194717134081238,2023-09-04,No
200,23,Female,Salaried,866814,514,1033170,8,0,Personal Loan,North,239304.70270137314,1.0,2021-07-29,No
201,40,Female,Self-Employed,557957,607,855883,7,1,Home Loan,North,154408.26254186433,1.0,2023-12-17,No
202,56,Male,Salaried,1482275,451,309594,7,2,Credit Card,East,855816.8897511441,0.36175261753717464,2023-04-25,No
203,39,Male,Salaried,930843,804,921703,2,2,Home Loan,North,484335.8720292581,1.0,2021-02-13,No
204,46,Male,Salaried,1972813,542,838764,11,4,Auto Loan,North,593694.2726392099,1.0,2023-01-23,No
205,23,Female,Self-Employed,1521887,648,170004,3,3,Personal Loan,North,854802.2329291097,0.19888109021130593,2023-09-28,No
206,39,Male,Salaried,777376,370,968240,3,2,Auto Loan,South,426643.24942635756,1.0,2021-09-07,No
207,40,Female,Salaried,928539,394,348759,11,3,Auto Loan,South,406908.5720046727,0.857094256534844,2023-04-26,No
208,52,Female,Self-Employed,822242,829,100450,10,3,Credit Card,South,253062.90166920697,0.39693688540449895,2021-03-21,No
209,27,Female,Self-Employed,1846489,845,133011,6,0,Home Loan,Central,734630.6883527954,0.18105832237724795,2022-07-16,No
210,53,Male,Self-Employed,609433,572,1360952,6,1,Credit Card,North,269730.60380397504,1.0,2021-05-10,No
211,59,Male,Salaried,332307,648,885805,3,0,Home Loan,South,107449.95174387391,1.0,2022-04-30,No
212,38,Female,Unemployed,1329680,830,1006027,11,1,Credit Card,South,731937.0470859784,1.0,2023-08-20,No
213,21,Male,Salaried,1790394,373,771831,5,4,Home Loan,West,969933.6537312897,0.7957564901793046,2022-10-26,No
214,31,Female,Self-Employed,958946,687,645557,9,0,Personal Loan,Central,247558.5056264531,1.0,2022-08-01,No
215,48,Female,Self-Employed,516205,433,1123090,7,3,Auto Loan,South,132601.1426814536,1.0,2023-11-14,Yes
216,45,Female,Salaried,1987177,409,188639,9,2,Home Loan,South,800622.144850168,0.23561551627491234,2022-11-27,No
217,43,Male,Salaried,1884919,637,805007,2,4,Personal Loan,South,1080948.3406663355,0.74472291571655,2021-02-15,No
218,51,Male,Self-Employed,1511345,866,289879,10,1,Home Loan,West,784148.915534211,0.36967340546854727,2022-09-21,No
219,50,Female,Salaried,1631313,503,948436,10,0,Home Loan,West,955073.8360853719,0.9930499236450882,2022-08-10,No
220,55,Male,Self-Employed,1803175,630,1207861,1,4,Auto Loan,Central,630005.5992458238,1.0,2023-06-08,No
221,27,Male,Salaried,425245,783,82378,2,0,Auto Loan,North,250408.66954166567,0.3289742330039139,2022-01-27,No
222,36,Male,Salaried,2221369,691,189719,6,3,Personal Loan,North,968577.8794715739,0.19587376918364563,2023-07-14,No
223,46,Male,Salaried,1536592,435,1124915,10,0,Auto Loan,Central,712756.250764309,1.0,2022-05-22,No
224,22,Female,Self-Employed,1603662,540,573928,7,1,Auto Loan,North,529393.1674576612,1.0,2021-10-13,No
225,21,Male,Salaried,2106643,601,1356420,8,1,Personal Loan,East,866847.5026120311,1.0,2023-01-16,No
226,32,Female,Self-Employed,433835,417,391296,11,2,Auto Loan,North,223285.96100095892,1.0,2023-05-07,No
227,25,Female,Salaried,2300642,495,324068,6,2,Personal Loan,West,857873.8998932567,0.37775715060258047,2023-04-15,No
228,57,Male,Self-Employed,2136080,604,1336962,6,1,Personal Loan,West,586104.8302462281,1.0,2023-09-14,No
229,52,Female,Salaried,403450,480,573784,3,1,Auto Loan,South,219159.5384327475,1.0,2023-03-03,No
230,29,Female,Salaried,2164225,726,528742,9,1,Home Loan,West,566351.9182792706,0.9335926708016816,2021-04-14,No
231,55,Male,Self-Employed,2198265,881,231691,11,4,Auto Loan,East,623652.4299568695,0.3715066098852902,2021-05-11,No
232,39,Female,Salaried,639892,548,168463,2,0,Auto Loan,East,302659.47255334153,0.5566090450722952,2022-07-23,No
233,36,Female,Salaried,805872,570,950322,11,4,Home Loan,East,390022.457051883,1.0,2022-09-23,No
234,23,Male,Self-Employed,440031,759,1185157,5,3,Auto Loan,South,194689.53132900002,1.0,2022-01-09,No
235,40,Male,Salaried,254983,520,1292715,3,2,Auto Loan,North,70685.2939688755,1.0,2021-09-24,No
236,44,Male,Salaried,1003145,494,590174,1,0,Home Loan,South,523540.1878429916,1.0,2021-03-23,No
237,53,Male,Salaried,805185,837,412162,2,2,Personal Loan,West,369879.86669944774,1.0,2023-01-07,No
238,44,Male,Salaried,945962,703,359665,6,3,Home Loan,East,458475.75553192495,0.784479867605465,2021-04-17,No
239,31,Female,Salaried,1121970,530,1234868,10,1,Home Loan,South,281631.65197212104,1.0,2022-08-01,No
